IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,Recommended that further investigaiton should be done upon being alerted.,,Category,MitreTechniques
DomainName,kostunivo.com,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,chishir.com,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,mangoclone.com,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,onixcellent.com,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,ipecho.net,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,api.ipify.org,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,checkip.amazonaws.com,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,ip.anysrc.net,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,wtfismyip.com,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
DomainName,ipinfo.io,,AlertAndBlock,High,BazarLoader/TrickBot,"CISA, FBI, and HHS assess malicious cyber actors are targeting the HPH Sector with TrickBot and BazarLoader malware, often leading to ransomware attacks, data theft, and the disruption of healthcare services.",Recommended that further investigaiton should be done upon being alerted.,,1,
