IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques
FileSha256,b4c112d402c2555bea91d5c03763cfed87aa0fb0122558554c9a3bc7ac345990,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,69f257092947e003465f24b9b0b44d489e798bd5b8cf51f7e84bc161937b2e7c,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,a5cfb2de4ca0f27b012cb9ae56ceacc2351c9b9f16418406edee5e45d1834650,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,d0a597a24f9951a5d2e7cc71702d01f63ff2b914a9585dbab5a77c69af5d60b5,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,e7a24751bc009bbd917df71fd4815d1483f52669e8791c95de2f44871c36f7f4,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,86194d9cb948d61da919e238c48a01694c92836a89c6108730f5684129830541,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,8770515a5e974a59f023c4c71b0c772299578f1e386f60f9dd203b64e2e2d92e,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,a074aa746a420a79a38e27b766d122e8340f81221fe011f644d84ff9b511f29a,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,3d3f61d5406149fd8f2c018fbc842ccef2f645fc22f4e5702368131c1bd4e560,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,3d40fdc4dc550394884f0b4e38aa8a448f91f8e935c1b51fedc4b71394fa2366,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,83d174c65f1c301164683c163dab3ea79d56caeda1a4379a5a055723e1cb9d00,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,0c2494c03f07f891c67bb31390c12c84b0bb5eea132821c0873db7a87f27ccef,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,b583ae22c9022fb71b06ec1bae58d0d40338432b47d5733bf550972c5cb627c4,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,c4971a65af3693896fdbb02f460848b354251b28067873c043366593b8dbc6f9,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,fa85813a90a2d0b3fc5708df2156381fdb168919b57e32f81249f8812b20e00a,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,fde7ca904d9ae72ea7e242ee31f7fbaee963937341ca2863d483300828a4c6e0,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,0c2494c03f07f891c67bb31390c12c84b0bb5eea132821c0873db7a87f27ccef,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,192f699e6ce2cccb2c78397392f4d85566892d9c8cf7de1175feb4d58f97d815,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,e8605854c8730d2e80d8a5edd8bc83eb7c397a700255754ec9140b9717f7d467,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,2481f133dd3594cbf18859b72faa391a4b34fd5b4261b26383242c756489bf07,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
FileSha256,0c2494c03f07f891c67bb31390c12c84b0bb5eea132821c0873db7a87f27ccef,,AlertAndBlock,High,DoNot APT,The DoNot APT group is making strides to experiment with new methods of delivery for their payloads,Upon being alerted investigation must be done,,,
